temperatura,umidade_relativa,velocidade_vento,precipitacao_24h,ndvi,dias_sem_chuva,altitude,mes,historico_focos,risco_queimada
23.108904159657687,65.54326947880082,51.86055632622576,12.242565689485836,0.554306321534056,27,407.2902619132268,8,4,médio
43.275000724347066,76.7013257472235,13.790908968413298,3.725998360792306,-0.01996743023406336,21,677.2151375659369,4,2,médio
35.619787963399176,27.542110891324906,69.7915650683852,6.453289751511346,0.142329811453739,108,108.36404981831443,6,0,alto
30.95304694689628,61.2386689646299,49.04929912553932,2.8639333292705427,0.6736793464792508,15,911.0670283381278,5,3,médio
15.460652415485278,56.45713848293738,12.57631068455634,4.9717286526412705,0.42868585367881973,12,949.7738620603008,12,3,baixo
15.459808211767093,79.9547339109444,76.98704459849654,2.0819422869162634,0.8279690617870448,99,2013.1764930181273,2,3,baixo
12.03292642588698,86.54783544331345,41.46923706682565,1.791660293730053,0.3287514083413543,99,1632.82667572414,8,5,baixo
40.31616510212273,6.094109432964813,5.8318761497324,4.3164731511935415,0.7698123658139231,61,1091.8063953891665,3,4,alto
31.039025411012307,65.66179271529134,50.146632353205376,3.4470675388351624,0.34895543747823754,42,1630.2849465593706,5,3,médio
34.78254022286159,9.665221920775611,20.255912561024818,4.3319864677964475,0.8792482787019853,86,131.9583762892279,8,3,alto
10.720457300353086,54.39727985696203,64.2954761501842,1.688989643823475,0.8598343813988768,77,450.6788400459402,11,4,médio
43.9468448256698,30.88694561393104,65.42576588529525,2.286091213269419,0.22913670555608032,31,1567.3696381043876,9,4,alto
39.13549242801476,32.60989395699271,78.31578846837294,0.4381376190941361,0.7859236704168032,66,1603.4170480632556,9,2,alto
17.431868873739667,36.76626531071209,40.149562481960295,0.2684617558175829,0.7476113742156493,90,1935.3366467685678,5,3,alto
16.36387385224852,60.91632041446491,36.39655037821897,1.4615111760824908,0.11068039732756282,82,1007.4993976340055,2,6,baixo
16.419157844870185,35.06449691018923,60.278048435718446,0.3857383331328565,0.5242904007832697,85,1806.3852415403906,7,3,alto
20.64847850358382,70.94291455312523,10.597652507354125,0.5478172817869573,-0.027317684410185145,56,1709.9508314004736,11,1,baixo
28.366475107128323,41.40746470164827,43.75324110344994,8.381319382716747,0.7367107205834617,64,2408.4834459246226,11,3,baixo
25.11807565247405,11.151788027896275,43.699808010468075,0.19824724972561597,0.07454588350349653,68,537.8255660616979,7,3,alto
20.193019906931468,75.53838582356966,7.157849824830977,5.378525280232735,-0.029185298614235494,48,1379.1989093815987,12,2,baixo
31.414851315283283,30.71824921334354,33.43872684055309,1.5911033145110862,0.3002190955388112,32,1504.4111052761732,8,4,alto
14.882285122821465,43.949019163933635,68.26278388537615,10.260909648705594,0.4769221385996435,114,2496.619712335552,8,3,alto
20.225062698732636,66.68994948997113,68.49228975957283,3.3178669851385374,0.754916958559771,18,502.9603554166293,5,1,baixo
22.822664515279207,34.92105414338408,7.93901319357448,1.8233660773651774,0.8742425255217365,35,1308.0450499182305,1,1,baixo
25.962449447596256,10.092709053204405,7.257670619826468,3.645311746419777,0.3394925125698637,114,865.4632692840971,11,2,alto
37.481158648755475,38.652894231153226,21.015638160154822,2.405994467420732,-0.03955307701472979,69,1314.7324214474995,4,4,médio
16.98858237554259,90.0003724424873,69.98128500431947,4.15401894723186,0.6491155790258707,14,580.3215052577648,4,2,baixo
